Signature;reachable;found
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.channel.oio.AbstractOioByteChannel: void doRead()>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,java.nio.ByteBuffer)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,java.nio.ByteBuffer)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,java.nio.ByteBuffer)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,byte[],int,int)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,byte[],int,int)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,byte[],int,int)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.ReadOnlyUnsafeDirectByteBuf: io.netty.buffer.ByteBuf getBytes(int,io.netty.buffer.ByteBuf,int,int)>";0;1
"<io.netty.buffer.ReadOnlyByteBufferBuf: io.netty.buffer.ByteBuf getBytes(int,java.nio.ByteBuffer)>";0;1
"<io.netty.buffer.ReadOnlyByteBufferBuf: io.netty.buffer.ByteBuf getBytes(int,java.nio.ByteBuffer)>";0;1
"<io.netty.buffer.ReadOnlyByteBufferBuf: io.netty.buffer.ByteBuf getBytes(int,java.nio.ByteBuffer)>";0;1
"<io.netty.buffer.ReadOnlyByteBufferBuf: io.netty.buffer.ByteBuf getBytes(int,byte[],int,int)>";0;1
"<io.netty.buffer.ReadOnlyByteBufferBuf: io.netty.buffer.ByteBuf getBytes(int,byte[],int,int)>";0;1
"<io.netty.buffer.ReadOnlyByteBufferBuf: io.netty.buffer.ByteBuf getBytes(int,byte[],int,int)>";0;1
"<io.netty.handler.codec.http.websocketx.WebSocket00FrameDecoder: io.netty.handler.codec.http.websocketx.WebSocketFrame decodeTextFrame(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf)>";0;1
"<io.netty.handler.codec.http.websocketx.WebSocket00FrameDecoder: io.netty.handler.codec.http.websocketx.WebSocketFrame decodeTextFrame(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf)>";0;1
"<io.netty.handler.codec.http.websocketx.WebSocket00FrameDecoder: io.netty.handler.codec.http.websocketx.WebSocketFrame decodeTextFrame(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf)>";0;1
"<io.netty.buffer.AbstractReferenceCountedByteBuf: boolean release()>";0;1
"<io.netty.buffer.AbstractReferenceCountedByteBuf: boolean release()>";0;1
"<io.netty.buffer.AbstractReferenceCountedByteBuf: boolean release()>";0;1
"<io.netty.handler.codec.socksx.v4.Socks4ServerDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v4.Socks4ServerDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v4.Socks4ServerDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.buffer.FixedCompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
